# Surviving mutants that are accepted, with the reason each is accepted.
#
# `scripts/mutants.sh` fails on any survivor that is not in this file. That is
# the whole mechanism: the list may not grow without somebody writing down why.
#
# One entry per line, the key and the reason separated by a tab. The key is the
# crate, the file, the function and the replacement text, with no line number,
# so editing the lines above a mutant does not invalidate its entry.
#
# # Where this list came from
#
# `M10.3` ran the tool for the first time, three milestones after
# `standards/testing.md` started claiming that it ran nightly. It found 89
# survivors out of 950 mutants across the four sans-I/O crates: 720 caught, 137
# unviable, 89 alive. That is an 89% kill rate against line coverage of 96% to
# 99%, which is the gap the standard's own sentence about coverage being a floor
# is about.
#
# Every entry started as `untriaged`, which is not a reason. It is a statement
# that the tool ran before anybody had read its output, which is the honest
# order: the gate protects against new survivors from today, and `M10.4` through
# `M10.8` are the tasks that turn each of these into either a test or a real
# reason. `untriaged` may not be used for anything added after those.
#
# `M10.4` did `pgprox-cache`: ten survivors became one. Six fell to four tests
# about the byte accounting, three more to two tests about the recency index and
# the expiry guard, and the last is a timeout with a reason below. That is what
# this file is for: the count only goes down, and every line that stays says why.

# --- pgprox-cache ---
pgprox-cache|crates/pgprox-cache/src/store.rs|Inner::remove|None	the body becomes `None`, so nothing is removed and `evict_to_fit` never terminates. The suite does detect it, by hanging, which the tool reports as a timeout rather than a kill. There is no assertion that improves on a hang, and `evict_to_fit` already returns rather than loops when the index and the map disagree, which is the real hazard this shape points at.

# --- pgprox-proto ---
pgprox-proto|crates/pgprox-proto/src/backend.rs|conn_id_from_key|^	untriaged
pgprox-proto|crates/pgprox-proto/src/encode.rs|row_description|	untriaged
pgprox-proto|crates/pgprox-proto/src/encode.rs|row_description|	untriaged
pgprox-proto|crates/pgprox-proto/src/encode_frontend.rs|untagged|+	untriaged
pgprox-proto|crates/pgprox-proto/src/frame.rs|inspect_policy|+	untriaged
pgprox-proto|crates/pgprox-proto/src/frame.rs|inspect_policy|+	untriaged
pgprox-proto|crates/pgprox-proto/src/frame.rs|inspect_policy|+	untriaged
pgprox-proto|crates/pgprox-proto/src/frame.rs|inspect_policy|/	untriaged
pgprox-proto|crates/pgprox-proto/src/frame.rs|inspect_policy|/	untriaged
pgprox-proto|crates/pgprox-proto/src/relay.rs|FrameRelay::buffered|*	untriaged
pgprox-proto|crates/pgprox-proto/src/relay.rs|FrameRelay::buffered|-	untriaged
pgprox-proto|crates/pgprox-proto/src/relay.rs|FrameRelay::buffered|0	untriaged
pgprox-proto|crates/pgprox-proto/src/relay.rs|FrameRelay::buffered|1	untriaged
pgprox-proto|crates/pgprox-proto/src/relay.rs|FrameRelay::push_body|>=	untriaged
pgprox-proto|crates/pgprox-proto/src/relay.rs|FrameRelay::push_header|*	untriaged
pgprox-proto|crates/pgprox-proto/src/relay.rs|FrameRelay::push_header|>	untriaged
